Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2010's,Lois Lane,Joey Trap,0.848,0.595,-6.538,0.251,0.0554,2.64e-06,0.473,140.002
2010's,Punk Rock Princess,Something Corporate,0.521,0.831,-6.046,0.0638,0.000389,0.00123,0.261,130.032
2010's,Somebody That I Used To Know,Mayday Parade,0.457,0.938,-4.557,0.0836,0.00391,9.94e-06,0.467,136.072
2010's,A Guy With A Girl,Blake Shelton,0.552,0.893,-4.593,0.0383,0.0158,0,0.777,163.948
2010's,Soapy,Naira Marley,0.9,0.806,-4.816,0.246,0.159,0.00971,0.671,123.038
2010's,How to Screw up Your Future and Disappoint Your Loved Ones,Settle Your Scores,0.524,0.879,-4.403,0.0972,0.000204,0,0.61,96.039
2010's,This Beat,Agent K,0.507,0.833,-6.234,0.0603,0.007,0.157,0.198,127.611
2010's,I Won't Let Go,Rascal Flatts,0.557,0.406,-7.083,0.0278,0.742,0,0.222,131.96
2010's,Passing Clouds,Hiss Golden Messenger,0.639,0.452,-11.939,0.0966,0.242,0.0611,0.469,78.999
2010's,Novacane,Frank Ocean,0.762,0.508,-9.112,0.0919,0.0584,0.00126,0.37,93.51
2010's,We Dem Boyz,Wiz Khalifa,0.717,0.862,-4.736,0.054,0.00689,0,0.52,130.021
2010's,Lay Me Down,Sam Smith,0.468,0.19,-11.138,0.0373,0.919,0,0.326,125.319
2010's,Let Us Fly,Love Sees No Color,0.487,0.915,-5.413,0.0331,0.000278,1.4e-05,0.548,93.966
2010's,"Cello Suite No. 2 in D Minor, BWV 1008: III. Courante",Johann Sebastian Bach,0.408,0.175,-27.874,0.0516,0.945,0.895,0.845,102.155
2010's,Rope,Foo Fighters,0.511,0.728,-4.874,0.037,2.52e-05,7.41e-05,0.541,138.179
2010's,Holy Grail,Jay Z Featuring Justin Timberlake,0.675,0.534,-6.901,0.0831,0.0594,8.59e-06,0.156,145.08
2010's,Motiv8,J. Cole,0.869,0.385,-7.801,0.297,0.135,0,0.596,149.897
2010's,Camouflage,Brad Paisley,0.56,0.965,-3.67,0.0472,0.0325,0.000984,0.771,113.633
2010's,Tuesday,I LOVE MAKONNEN Featuring Drake,0.77,0.664,-5.604,0.211,0.215,0.000118,0.472,140.163
2010's,Today,Brad Paisley,0.347,0.632,-6.998,0.0381,0.539,0.00226,0.285,74.257
2010's,Hardcore,Powerslut,0.55,0.607,-7.436,0.0449,0.000176,2.44e-06,0.685,117.581
2010's,God morgen vår!,Nanahira,0.472,0.868,-4.18,0.115,0.0559,0.000939,0.641,193.911
2010's,MEGATRON,Nicki Minaj,0.893,0.641,-3.051,0.272,0.128,8.06e-05,0.771,94.017
2010's,I Love You This Big,Scotty McCreery,0.521,0.647,-6.344,0.0295,0.0922,8.21e-05,0.326,83.963
2010's,Stubborn Love,The Lumineers,0.598,0.56,-11.679,0.0375,0.607,0.0432,0.221,115.01
2010's,Kill A Word,Eric Church Featuring Rhiannon Giddens,0.651,0.732,-8.037,0.0381,0.0164,1.58e-06,0.638,85.023
2010's,Elm St's Children,Elm Street,0.522,0.98,-3.766,0.0773,1.55e-05,0.0298,0.396,144.996
2010's,Throw It Up featuring Pastor Troy,Lil Jon & The East Side Boyz,0.698,0.592,-3.197,0.0929,0.0453,0,0.107,145.977
2010's,Seal The Deal,Volbeat,0.53,0.973,-3.603,0.0663,6.44e-05,0.00558,0.432,105.997
2010's,Cigarettes out the Window,TV Girl,0.626,0.659,-5.669,0.0337,0.121,0,0.594,113.551
2010's,The Lazy Song,Bruno Mars,0.738,0.804,-3.851,0.0621,0.332,0,0.949,174.943
2010's,Comin Out Strong,Future Featuring The Weeknd,0.628,0.481,-7.775,0.475,0.29,0,0.33,108.761
2010's,The Start of It (EP Version),Meese,0.537,0.839,-4.19,0.0442,0.00762,0,0.614,150.013
2010's,Homegrown,Zac Brown Band,0.712,0.801,-3.742,0.029,0.0249,0.000125,0.956,105.007
2010's,Amor para Sonhar,Barrio Jazz Gang,0.722,0.868,-7.886,0.0472,0.466,0.0109,0.943,97.986
2010's,Vincent,Laura Fygi,0.47,0.191,-13.681,0.038,0.918,0,0.422,95.515
2010's,"Fire, Walk with Me",Harakiri for the Sky,0.383,0.952,-4.88,0.0484,9.91e-06,0.000881,0.278,145.001
2010's,My Chick Bad,Ludacris Featuring Nicki Minaj,0.624,0.723,-6.782,0.378,0.172,0,0.757,84.789
2010's,Mind Over Matter,The Rival Mob,0.137,0.879,-7.838,0.0421,7e-06,0.85,0.576,181.288
2010's,Bright,Echosmith,0.646,0.431,-8.517,0.0262,0.637,6.99e-06,0.292,90.034
2010's,Disarm You (feat. Ilsey),Kaskade,0.446,0.793,-3.912,0.0556,0.0434,4.14e-05,0.313,127.799
2010's,Didn't You Know How Much I Loved You,Kellie Pickler,0.524,0.791,-4.696,0.0396,0.244,0,0.248,137.872
2010's,Hip-Hop - Remix,Joell Ortiz,0.536,0.857,-5.951,0.369,0.346,0,0.836,97.524
2010's,Mr. Local - Theme,Hiphop Tamizha,0.652,0.93,-3.974,0.0616,0.0213,0,0.602,87.997
2010's,Temporary Home,Carrie Underwood,0.416,0.354,-6.357,0.0263,0.731,1e-06,0.181,80.767
2010's,It's Only Rock & Roll (But I Like It),Clinic,0.579,0.571,-9.435,0.169,0.735,0.931,0.603,186.698
2010's,LoveHate Thing,Wale Featuring Sam Dew,0.736,0.691,-6.118,0.169,0.0771,0,0.18,99.954
2010's,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,0.639,0.659,-7.273,0.215,0.241,8.33e-06,0.457,136.801
2010's,Natures Death,Living Death,0.257,0.825,-13.36,0.063,0.000422,0.812,0.223,176.255
2010's,A Wolf Amongst Ravens,After The Burial,0.483,0.975,-6.839,0.0526,0.000225,0.166,0.301,136.019
2010's,No Complaints,Metro Boomin Featuring Offset & Drake,0.913,0.498,-10.742,0.165,0.0829,0.0369,0.217,123.975
2010's,Change Locations,Drake & Future,0.788,0.328,-9.991,0.392,0.0207,2.53e-06,0.213,137.85
2010's,On the Beach (Mix Cut) - Mauro Picotto's CRW Remix,York,0.605,0.897,-10.236,0.0382,0.00156,0.277,0.258,137.974
2010's,Let Me See Ya Girl,Cole Swindell,0.523,0.834,-3.561,0.0281,0.254,0,0.445,92.99
2010's,Every Time I Hear That Song,Blake Shelton,0.523,0.725,-5.448,0.0339,0.0558,6.96e-06,0.528,155.855
2010's,Strange World - Radio Edit,Push,0.632,0.644,-13.097,0.0362,0.135,0.848,0.566,139.207
2010's,Deja Vu,J. Cole,0.657,0.421,-11.378,0.412,0.352,0.000218,0.181,174.063
2010's,Press,Cardi B,0.888,0.525,-5.665,0.305,0.029,5.68e-06,0.243,133.983
2010's,Back & Forth,Wild Child,0.749,0.699,-7.193,0.0469,0.0694,0,0.641,123.965
2010's,"Hooray, It's L.A.",Blindside,0.492,0.922,-4,0.0402,2.36e-05,0,0.54,146.015
2010's,Tell Me You Love Me,Demi Lovato,0.538,0.6,-5.463,0.0489,0.0273,0,0.26,81.888
2010's,Try Me,The Weeknd,0.456,0.679,-5.778,0.064,0.596,0.000573,0.107,92.026
2010's,Yours,Russell Dickerson,0.555,0.722,-6.005,0.034,0.119,0,0.559,134.058
2010's,Zombie,Chief State,0.473,0.967,-4.86,0.0792,0.000111,0.00259,0.453,188.001
2010's,Ocean Eyes,Billie Eilish,0.511,0.363,-7.65,0.041,0.816,0.0317,0.169,144.892
2010's,I Was Jack (You Were Diane),Jake Owen,0.603,0.866,-3.541,0.0443,0.0819,0,0.543,94.057
2010's,Give It All We Got Tonight,George Strait,0.577,0.649,-7.031,0.027,0.253,5.03e-06,0.339,130.313
2010's,When We,Tank,0.635,0.324,-9.51,0.0769,0.165,4.18e-06,0.0741,117.863
2010's,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,0.726,0.554,-5.29,0.0917,0.0421,0,0.335,169.999
2010's,Per Ulv,Terje Rypdal,0.572,0.37,-18.377,0.0402,0.0387,0.856,0.198,125.248
2010's,Blessed Be the Darkness,Behexen,0.122,0.869,-4.648,0.0864,1.69e-05,0.675,0.0626,147.406
2010's,Crave You - Adventure Club Remix,Flight Facilities,0.634,0.692,-5.646,0.0997,0.00586,0.000116,0.0839,140.029
2010's,All The Right Moves,OneRepublic,0.529,0.948,-3.527,0.0474,0.258,9.35e-06,0.65,146.024
2010's,Know Yourself,Drake,0.733,0.412,-8.687,0.225,0.196,0,0.179,114.413
2010's,Half Of My Heart,John Mayer,0.681,0.593,-9.327,0.0251,0.435,0.000117,0.731,115.058
2010's,Bad Habits,Maxwell,0.661,0.67,-7.645,0.258,0.0873,2.01e-06,0.661,148.02
2010's,Things Are,Sun Glitters,0.482,0.332,-12.997,0.0732,0.33,0.782,0.225,83.094
2010's,Earth Scar,Decapitated,0.267,0.988,-5.057,0.0962,4.04e-05,0.00285,0.151,89.575
2010's,Turn The Night Up,Enrique Iglesias,0.78,0.74,-5.31,0.042,0.00554,1.33e-05,0.214,128.002
2010's,Sacrifice,Invincible Force,0.267,0.999,-3.412,0.131,0.00285,0.00257,0.0381,181.013
2010's,Paradox Garage Part 1 (With Your Love),FaltyDL,0.615,0.879,-6.026,0.0469,1.52e-05,0.872,0.637,123.025
2010's,Enemy - Radio Edit,Manuel Lauren,0.598,0.883,-4.281,0.0732,0.00617,2.37e-05,0.894,127.961
2010's,Talk That Talk,Rihanna Featuring Jay-Z,0.734,0.766,-4.485,0.0383,0.025,0.00138,0.6,127.986
2010's,Rückkehr der Vernunft,Pöbel MC,0.795,0.877,-6.121,0.314,0.16,0,0.51,100.023
2010's,Because I’m Me,The Avalanches,0.472,0.805,-5.793,0.086,0.0491,0.0162,0.512,94.922
2010's,Rub Anotha Dub,Walker & Royce,0.707,0.789,-7.339,0.0713,0.00072,0.627,0.63,125.991
2010's,Crazy World,Terry Riley,0.286,0.399,-7.771,0.0329,0.72,4.34e-05,0.21,93.082
2010's,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,0.825,0.572,-6.067,0.0864,0.0079,0,0.568,141.991
2010's,We Stayed Up All Night,Tourist,0.519,0.843,-6.508,0.0431,0.214,0.000446,0.592,84.997
2010's,Obsidian Plume,Anthelion,0.321,0.953,-4.978,0.167,0.000253,0.715,0.0369,104.21
2010's,Thrash On The Streets,Dangerous,0.164,0.974,-4.776,0.282,9.14e-06,0.0178,0.257,174.832
2010's,Footloose,Blake Shelton,0.52,0.924,-4.748,0.0686,0.00121,2.31e-06,0.844,173.98
2010's,Loca,Shakira Featuring Dizzee Rascal,0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.917,112.002
2010's,Never Enough,Loren Allred,0.277,0.394,-8.903,0.0336,0.423,0,0.227,86.777
2010's,Let Her Go,Passenger,0.479,0.545,-7.346,0.0688,0.365,0,0.244,74.897
2010's,How Far I'll Go,Auli'i Cravalho,0.571,0.307,-10.958,0.0499,0.649,0,0.108,83.72
2010's,It's a Small World - Instrumental,Fred Mollin,0.666,0.434,-12.283,0.0691,0.987,0.949,0.947,100.036
2010's,Pop Music,R. Stevie Moore,0.516,0.386,-9.196,0.0332,0.056,1.93e-05,0.378,179.974
