year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,D'amore si muore: Si muore d'amore - Soundtrack,Ennio Morricone,0.163,0.201,-17.837,0.0363,0.929,0.676,0.09,67.599
1970's,Plan 9 Channel 7,The Damned,0.203,0.954,-8.59,0.0867,0.00653,0.0991,0.214,158.776
1970's,Lazy Evening Blues,Alan Parker,0.677,0.219,-13.163,0.0394,0.258,0.885,0.133,121.475
1970's,School's Out,Alice Cooper,0.294,0.745,-9.138,0.0461,0.05,0.125,0.347,134.364
1970's,Die letzte Schlacht gewinnen wir,Ton Steine Scherben,0.5,0.899,-5.864,0.031,0.000504,1.93e-05,0.826,90.122
1970's,Kinfolk's Blues,Muddy Waters,0.628,0.421,-16.76,0.041,0.377,0.000343,0.869,95.81
1970's,"The Grand Duel (Part VI) (From ""Il Grande Duello / The Grand Duel"")",Luis Bacalov,0.178,0.0421,-28.872,0.0391,0.286,0.116,0.155,82.29
1970's,I'd Rather Love You,Charley Pride,0.492,0.35,-11.091,0.0272,0.689,0,0.384,103.818
1970's,Take The Long Way Home,Supertramp,0.414,0.7,-8.838,0.0301,0.22,0.000721,0.37,76.79
1970's,People Gotta Move,Gino Vannelli,0.739,0.621,-13.604,0.0452,0.215,0.0161,0.721,117.11
1970's,Solera - Instrumental,Paco de Lucía,0.377,0.249,-17.11,0.0382,0.969,0.852,0.567,67.563
1970's,Bold Soul Sister,Ike & Tina Turner,0.775,0.688,-12.959,0.0699,0.224,0.0411,0.93,94.143
1970's,Monster,Steppenwolf,0.441,0.542,-12.444,0.0439,0.131,2.38e-05,0.37,111.545
1970's,"Move Over, Little Dog",Lonnie Brooks,0.566,0.692,-10.917,0.0421,0.469,0.0112,0.819,132.884
1970's,Shambala,B.W. Stevenson,0.716,0.717,-10.368,0.0395,0.345,0,0.892,120.965
1970's,Shower The People,James Taylor,0.675,0.448,-11.52,0.0235,0.32,0,0.568,98.499
1970's,If You Could See Her,Joel Grey,0.499,0.185,-14.888,0.23,0.937,0,0.44,78.666
1970's,Swearin' To God,Frankie Valli,0.667,0.785,-7.364,0.0635,0.288,0.000122,0.73,108.921
1970's,Dervish D.,Vangelis,0.705,0.782,-11.875,0.0368,0.676,0.798,0.963,92.855
1970's,Bitter Bad,Melanie,0.572,0.596,-10.884,0.0294,0.406,0,0.943,139.984
1970's,Funeral Song for Mississippi John Hurt,John Fahey,0.216,0.51,-9.794,0.0383,0.6,0.826,0.153,102.16
1970's,Weissensee,NEU!,0.594,0.168,-17.818,0.0323,0.429,0.734,0.0587,126.664
1970's,Have You Never Been Mellow,Olivia Newton-John,0.542,0.324,-14.07,0.0329,0.566,2.27e-06,0.421,121.802
1970's,"Buen Día, Paloma",Facundo Cabral,0.278,0.107,-17.304,0.0348,0.954,0.0828,0.144,93.873
1970's,Another Night,The Hollies,0.727,0.814,-5.517,0.0294,0.113,0.0193,0.87,110.776
1970's,Nine Below Zero - Live,Muddy Waters,0.519,0.735,-10.204,0.0942,0.401,0.0794,0.669,117.211
1970's,Like A Sad Song,John Denver,0.387,0.0287,-18.887,0.0389,0.945,1.58e-05,0.162,70.639
1970's,On This Night Of A Thousand Stars / Eva And Magaldi / Eva Beware Of The City - Original Cast Recording/1979,Patti LuPone,0.558,0.272,-16.702,0.16,0.793,0,0.591,141.008
